"WDS";"Discov";"Comp";"Firs";"Last";"Obs";"P1";"P2";"Sep.01";"Sep.02";"Mag1";"Mag2";"Spectr";"M1RA";"M1DE";"M2RA";"M2DE";"DurNum";"Not";"Coord2000ArcSec";"Mag1Num";"Mag2Num"
"03342+4837";"ARN  57";"AE";1903;2003;10;29;29;175.5;174.8;"7.38";"8.81";"B9.5V";"21";"-27";"21";"-28";"";"N";"033412.97+483702.9";7.38;8.81
"03356+4253";"BUP  45";"AC";1896;2015;15;94;90;196.1;177.6;"7.45";"7.98";"F8";"149";"-155";"5";"-26";"+42  789";"N";"033535.80+425315.2";7.45;7.98
"03382-5947";"DUN  14";"";1826;2015;27;280;272;45;57.4;"7.00";"8.34";"F3V+F5";"26";"43";"29";"45";"-60  262";"NT";"033810.24-594635.0";7;8.34
"03383+4448";"S   430";"AB";1823;2008;36;95;96;41.1;41;"7.21";"7.53";"A0";"22";"-29";"27";"-33";"+44  757";"NZ V";"033818.83+444806.5";7.21;7.53
"03400+6352";"STTA 36";"A,BC";1875;2016;25;70;72;45.8;45.9;"6.92";"8.27";"F5V+G8V";"128";"-143";"130";"-144";"+63  437";"NZ V";"033958.81+635213.4";6.92;8.27
"03427+5958";"WEB   2";"AD";1810;2016;25;33;37;54.4;54.9;"5.72";"8.45";"K4II";"0";"4";"-2";"2";"+59  700";"";"034242.73+595809.8";5.72;8.45
"03437+6559";"BU 1231";"AC";1891;2015;17;252;259;84;87.5;"7.87";"8.75";"F0";"48";"-54";"-4";"10";"+65  358";"";"034345.00+655841.0";7.87;8.75
"03440+3822";"STF 434";"AB";1781;2015;56;121;83;18;33.6;"7.80";"8.28";"K5III";"-1";"-5";"22";"16";"+37  820";"NL Y";"034358.92+382225.6";7.8;8.28
"03442-6448";"LDS 104";"AB";1893;2015;7;95;95;999.9;999.9;"3.96";"7.93";"K2III+G3V";"311";"84";"336";"99";"-65  263";"NU";"034411.98-644824.8";3.96;7.93
"03446+2754";"STTA 38";"AB";1875;2014;39;38;52;122.6;135.9;"6.78";"6.91";"F4V";"-47";"-76";"157";"-165";"+27  556";"NU Z";"034437.21+275351.5";6.78;6.91
"03448-7002";"LFR   1";"";1892;2010;17;81;83;75.8;75.9;"7.42";"7.57";"G0V+G0V";"-11";"-97";"-9";"-97";"-70  254";"NTWV";"034446.84-700135.9";7.42;7.57
"03459+2433";"HJL1026";"AB";1894;2015;24;129;130;149.8;149.6;"5.75";"6.42";"B8V";"20";"-45";"20";"-44";"";"N W";"034554.47+243316.2";5.75;6.42
"03463+2411";"S   437";"AB,C";1823;2013;37;300;309;34.6;39.5;"8.13";"7.70";"A7V";"17";"-47";"17";"-8";"";"NL";"034616.00+241123.5";8.13;7.7
"03475+2406";"STFA  8";"AB";1836;2013;35;289;290;117.1;116.9;"2.83";"6.27";"B7IIIe";"19";"-44";"19";"-44";"+23  541";"N W";"034729.06+240618.8";2.83;6.27
"03475+2406";"STFA  8";"AC";1868;2011;15;312;313;180.8;181.3;"2.83";"8.22";"B7IIIe";"19";"-44";"18";"-46";"";"N W";"034729.06+240618.8";2.83;8.22
"03475+2406";"STFA  8";"AD";1868;2011;15;295;296;190.7;190.9;"2.83";"8.73";"B7IIIe";"19";"-44";"18";"-46";"+23  531";"N W";"034729.06+240618.8";2.83;8.73
"03475+2406";"STFA  8";"BC";1824;2011;19;344;344;85.6;85.6;"6.27";"8.22";"A4V";"19";"-44";"18";"-46";"+23  536";"N W";"034721.03+240658.5";6.27;8.22
"03475+2406";"STFA  8";"BD";1824;2011;19;304;305;74.7;75.3;"6.27";"8.73";"A4V";"19";"-44";"18";"-46";"";"N W";"034721.03+240658.5";6.27;8.73
"03475+2406";"STFA  8";"CD";1868;2012;22;224;225;54.2;54;"8.22";"8.73";"A7V";"18";"-46";"18";"-46";"+23  534";"N W";"034719.34+240820.8";8.22;8.73
"03493+5707";"S   436";"";1790;2016;43;76;77;59.7;58.2;"6.46";"7.17";"A0Vn";"29";"-24";"31";"-26";"+56  846";"NZW";"034919.76+570705.8";6.46;7.17
"03494+2423";"STTA 40";"AB";1875;2015;26;308;309;87;86.9;"6.58";"7.53";"B9.5V";"17";"-45";"19";"-46";"+23  561";"N W";"034921.74+242251.8";6.58;7.53
"03536-4654";"SKF 949";"";1875;2010;11;4;4;76.8;75.1;"6.06";"8.47";"K2III+G";"17";"-38";"26";"-36";"";"V";"035333.33-465337.2";6.06;8.47
"03545+0510";"STTA 41";"A,BC";1875;2013;32;357;358;58.9;59.4;"7.46";"8.93";"F3II-III";"11";"-24";"15";"-19";"+04  601";"N";"035427.23+051028.5";7.46;8.93
"04010-5424";"DUN  17";"AB";1826;2015;19;139;142;63;64.4;"7.70";"8.22";"A3V";"7";"17";"23";"-7";"-54  617";"";"040059.36-542331.8";7.7;8.22
"04022+2808";"STF 481";"AD";1903;2010;5;90;90;999.9;999.9;"7.52";"8.18";"G8II";"-2";"-9";"0";"-19";"+27  623";"N";"040214.87+280735.0";7.52;8.18
"04038-4429";"SHY 458";"AC";1897;2015;15;302;303;594.4;594.7;"8.55";"8.18";"G5V+G3V";"-61";"-88";"-62";"-84";"";"NV";"040345.16-442853.3";8.55;8.18
"04053+2201";"STT 559";"AB";1853;2015;25;5;357;166.4;176.6;"5.97";"8.09";"G5V";"173";"-131";"5";"-65";"";"NY";"040520.15+220032.2";5.97;8.09
"04076+3804";"STT 531";"AC";1851;2011;19;205;217;239.8;225.2;"7.32";"8.81";"K1V";"173";"-227";"-3";"-10";"";"NU";"040734.35+380428.3";7.32;8.81
"04076+3804";"ALC   1";"AE";1991;2011;4;100;100;746.1;745.9;"7.32";"5.57";"K1V";"173";"-227";"164";"-203";"+37  882";"NV";"040734.35+380428.3";7.32;5.57
"04080+4311";"AG  308";"";1896;2011;19;74;70;134.4;130.4;"7.18";"6.55";"K0";"68";"-99";"9";"-20";"+42  896";"NZ";"040801.84+431045.3";7.18;6.55
"04095-1729";"ENG  17";"AB";1894;2015;19;139;135;126.4;118.4;"8.07";"8.29";"G8IV";"-22";"-100";"-9";"4";"-17  805";"NY";"040928.16-172843.3";8.07;8.29
"04116-2021";"SRT   2";"";1894;2010;12;334;335;61.9;61.7;"5.82";"7.68";"A1V+F0";"46";"50";"45";"47";"";"";"041136.20-202122.2";5.82;7.68
"04125-3609";"HJ 3628";"";1838;2010;21;50;50;50.5;50.2;"7.17";"7.95";"F3V";"62";"24";"61";"25";"-36 1631";"NZW";"041230.90-360909.2";7.17;7.95
"04155+0611";"STTA 45";"AB";1782;2015;39;314;316;62.6;64.3;"6.38";"7.01";"G0IV+G3V";"-109";"-108";"-101";"-112";"+05  614";"NZ V";"041528.86+061113.6";6.38;7.01
"04159+3142";"STTA 43";"AB,C";1847;2016;44;42;43;56.5;56.1;"7.48";"8.59";"F8V";"6";"-50";"6";"-50";"+31  738";"NV";"041555.73+314135.1";7.48;8.59
"04173+4613";"STTA 44";"";1875;2016;31;322;323;58.4;58;"7.12";"7.99";"A2";"-2";"-4";"-1";"-4";"+45  905";"N";"041719.77+461303.6";7.12;7.99
"04187-5252";"SHY 462";"AB";1908;2015;6;236;236;270.4;270.4;"6.16";"7.80";"F7IV-+F5V";"46";"73";"49";"73";"";"NV";"041840.03-525136.3";6.16;7.8
"04189+0146";"STTA 49";"";1875;2010;22;325;324;102.9;102.6;"7.84";"7.94";"G5";"10";"-4";"-10";"-19";"+01  733";"N";"041858.95+014501.5";7.84;7.94
"04193-4416";"HJ 3643";"";1836;2010;13;116;115;70;69.5;"5.45";"8.64";"K2III";"63";"-36";"62";"-36";"-44 1503";"N";"041916.70-441604.5";5.45;8.64
"04198+2344";"STF 523";"AC";1892;2011;18;48;50;108.3;108.6;"7.59";"8.92";"B9.5V";"-6";"2";"9";"-14";"+23  673";"";"041945.68+234417.9";7.59;8.92
"04204+2721";"SHJ  40";"AB";1832;2015;48;242;258;55.9;48.8;"5.08";"7.51";"K2III";"-29";"-78";"-17";"-1";"+27  655";"NL";"042021.23+272103.4";5.08;7.51
"04210+5015";"S   445";"AB";1823;2016;31;327;328;75.2;70.8;"7.31";"8.19";"K2";"0";"-4";"8";"-21";"+49 1162";"N";"042057.50+501517.4";7.31;8.19
"04211+5532";"STTA 46";"AB";1875;2008;24;160;160;98.8;99.7;"7.68";"7.95";"A3";"-15";"-1";"1";"-2";"+55  868";"NY";"042103.12+553152.5";7.68;7.95
"04215-2544";"HJ 3644";"AB,D";1835;1999;21;38;42;40;44.1;"6.15";"8.23";"F2V";"66";"-59";"49";"-56";"-26 1643";"NV";"042131.29-254342.4";6.15;8.23
"04247-0845";"FOX 138";"AC";1891;2015;11;84;77;132.8;151.4;"8.59";"8.69";"G0";"-130";"-167";"-6";"10";"-09  896";"NU";"042442.01-084510.5";8.59;8.69
"04254+2218";"STF 541";"AB";1836;2011;33;173;174;339.1;344.5;"4.22";"5.29";"A7IV/V";"105";"-45";"112";"-48";"+21  642";"NZ";"042522.16+221737.9";4.22;5.29
"04287+1552";"STFA 10";"AB";1800;2016;43;346;339;340;347.9;"3.41";"3.94";"A7III";"108";"-27";"105";"-15";"+15  632";"NZ";"042839.74+155215.2";3.41;3.94
"04306+1612";"LDS2246";"";1901;2011;26;130;130;249.5;254;"4.78";"6.54";"A6IV";"105";"-26";"98";"-23";"+15  637";"N";"043033.63+161138.5";4.78;6.54
"04306+1542";"BUP  62";"AB";1904;2014;15;339;339;161.8;164.1;"5.48";"8.94";"Am";"104";"-25";"99";"-25";"+15  639";"N";"043038.83+154130.0";5.48;8.94
"04306+1542";"ARN  36";"AC";1902;2014;14;246;246;479.1;484.5;"5.48";"5.70";"Am";"104";"-25";"108";"-24";"";"N";"043038.83+154130.0";5.48;5.7
"04334+4304";"SHJ  44";"AB";1782;2004;29;198;197;96.5;120.9;"6.12";"6.83";"F0V";"5";"5";"23";"-60";"+42  990";"N";"043324.90+430350.0";6.12;6.83
"04334+4304";"ARN  42";"AE";1896;2004;15;78;79;442.2;442.1;"6.12";"7.42";"F0V";"5";"5";"10";"-23";"";"N";"043324.90+430350.0";6.12;7.42
"04348+2242";"SKF2819";"AC";1898;2013;3;291;291;182.1;182.2;"6.82";"8.8";"F5III+G0";"44";"-30";"43";"-26";"+22  712";"V";"043445.44+224132.3";6.82;8.8
"04357+1010";"SHJ  45";"AB";1800;2013;30;303;300;64.3;69.1;"4.27";"7.84";"A5m";"45";"-52";"52";"-49";"";"N";"043539.23+100939.3";4.27;7.84
"04363+4722";"S   451";"";1825;2011;27;199;202;58.4;55.7;"7.59";"7.91";"F5";"19";"-40";"1";"-3";"+47 1013";"NY";"043615.09+472215.6";7.59;7.91
"04374+0034";"STTA 53";"";1876;2011;25;352;353;78.1;78;"7.55";"7.57";"G5";"16";"11";"15";"13";"+00  800";"NZWV";"043726.72+003311.2";7.55;7.57
"04382+7128";"OPI   5";"AC";1926;2003;7;280;279;100;111.8;"7.67";"8.50";"A2";"3";"-22";"3";"-22";"";"";"043808.93+712812.0";7.67;8.5
"04393+1555";"STFA 11";"";1836;2014;42;192;194;427.4;444;"4.69";"5.09";"A5Vn+A4m";"83";"-19";"42";"-67";"+15  666";"NZ";"043916.50+155504.7";4.69;5.09
"04396-2115";"BU 1236";"AC";1891;2015;18;314;314;40.2;40.4;"7.34";"8.96";"K0/1III";"13";"22";"14";"24";"-21  940";"NZ V";"043937.02-211451.4";7.34;8.96
"04404+5328";"D     4";"AD";1867;2003;8;275;271;232.9;231.1;"8.96";"5.45";"A3";"15";"-12";"59";"-106";"";"N";"044024.06+532809.3";8.96;5.45
"04422+2257";"S   455";"AB";1777;2015;45;212;214;60;62.8;"4.24";"7.02";"B3V";"-3";"-20";"-1";"-14";"+22  737";"N";"044214.70+225725.1";4.24;7.02
"04492-4223";"SKF 811";"A,BC";1751;2010;21;134;134;129;149.9;"7.26";"7.31";"A3V+A2F2";"-20";"4";"-22";"4";"";"VW";"044910.64-422305.3";7.26;7.31
"04516-1325";"SKF1384";"";1901;2010;6;180;180;70.5;70.5;"8.39";"8.90";"A2V+A5/8";"-12";"-2";"-13";"-3";"";"V";"045138.74-132432.7";8.39;8.9
"04519-3414";"BVD  48";"AB";1912;2015;12;160;160;52.5;51.9;"6.75";"8.67";"F6IV+G5";"75";"9";"71";"10";"";"NVW";"045154.24-341419.1";6.75;8.67
"04519-3414";"BVD  48";"AC";1912;2015;15;308;309;99.4;99.6;"6.75";"8.92";"F6IV+G5V";"75";"9";"71";"5";"";"NVW";"045154.24-341419.1";6.75;8.92
"04519-3414";"TOK 250";"CB";1912;2015;12;139;139;146.7;146.4;"8.92";"8.67";"G4V";"72";"7";"76";"12";"";"NVW";"045147.95-341317.2";8.92;8.67
"04531-0117";"S   457";"";1824;2012;25;354;355;41.2;41;"7.93";"8.07";"A";"11";"-16";"13";"-16";"-01  744";"N W";"045304.82-011632.8";7.93;8.07
"04547+1221";"TOK 251";"";1908;2015;13;328;329;415.8;416;"7.20";"8.74";"F8+G5";"89";"-40";"91";"-42";"";"NVW";"045443.65+122107.9";7.2;8.74
"04549+1009";"ENG  19";"AB";1887;2011;18;248;254;171.8;171.8;"4.66";"8.95";"A0V";"42";"-129";"2";"-11";"+09  683";"N";"045453.72+100902.9";4.66;8.95
"04564-0510";"SHJ  48";"AB";1782;2013;28;75;76;60.4;66.1;"5.46";"8.93";"B6V";"-6";"-2";"-6";"-1";"-05 1091";"N";"045624.19-051016.9";5.46;8.93
"04590+1433";"SHJ  49";"AB";1777;2016;61;303;306;42;39.2;"6.06";"7.43";"B7V";"7";"-1";"5";"-3";"+14  796";"NZ";"045859.41+143235.7";6.06;7.43
"04593+3101";"HJL1039";"AD";1903;2015;13;11;12;159.3;158.4;"8.43";"7.66";"F8+F5IV";"10";"-50";"24";"-64";"+30  752";"";"045920.56+310049.5";8.43;7.66
"04598-1016";"TOK 252";"";1903;2010;6;221;222;297.8;298.4;"5.48";"8.47";"K0IV+DA2";"22";"-134";"23";"-131";"";"NV";"045950.45-101547.9";5.48;8.47
"05017+2640";"S   461";"AB,C";1824;2008;35;159;159;78.7;78.5;"6.85";"8.25";"G2V";"-2";"44";"-1";"30";"+26  776";"NZ";"050144.28+264015.8";6.85;8.25
"05034+6027";"S   459";"AB";1825;2016;29;208;210;80.3;83.5;"4.12";"7.44";"G0I";"-6";"-15";"-14";"-35";"+60  856";"N";"050325.10+602632.2";4.12;7.44
"05036+6305";"STF 618";"AB";1831;2016;43;212;212;32.2;32.8;"7.68";"7.98";"G0";"100";"315";"88";"297";"+62  723";"NZWV";"050333.31+630509.3";7.68;7.98
"05053+6923";"HJ 2244";"";1831;2003;13;166;167;100;106.2;"8.31";"8.94";"K2";"0";"-15";"11";"-7";"+69  294";"N";"050515.08+692244.3";8.31;8.94
"05061+5858";"STFA 13";"AB";1836;2011;28;7;10;181.3;180.2;"5.20";"6.21";"B2.5Ve";"-7";"-8";"-4";"-27";"+58  804";"N";"050608.46+585820.6";5.2;6.21
"05092+1130";"BVD  50";"";1900;2011;18;103;104;30.9;30.9;"8.35";"8.49";"F3V+F3V";"-6";"-23";"-4";"-22";"";"V";"050912.56+112942.9";8.35;8.49
"05096+2947";"STTA 61";"AB";1874;2007;18;244;245;69.1;68.1;"6.72";"8.49";"F8V";"59";"-6";"67";"2";"+29  822";"NV";"050943.70+294755.1";6.72;8.49
"05120+0650";"STTA 62";"";1875;2014;20;48;53;123.4;127.7;"7.59";"7.82";"K0";"-32";"19";"7";"-2";"+06  864";"N";"051201.23+065017.3";7.59;7.82
"05126-1727";"S   470";"";1799;2015;25;270;279;53.6;47.6;"8.51";"8.54";"A0";"-10";"-6";"-13";"3";"-17 1047";"NZW";"051233.01-172716.5";8.51;8.54
"05129-2711";"HJ 3732";"";1834;2010;12;37;39;80;85.6;"7.24";"7.51";"K4/5III";"1";"1";"-7";"1";"-27 2137";"";"051251.81-271039.3";7.24;7.51
"05167+4600";"SHJ  51";"AG";1831;2003;5;347;349;450;522.4;"0.08";"8.10";"G8III";"76";"-425";"9";"-57";"";"N";"051641.36+455952.8";0.08;8.1
"05167+4600";"SHY  23";"AM";1991;1999;3;28;28;999.9;999.9;"0.08";"7.27";"G5III+K1";"76";"-427";"4";"-524";"";"NV";"051641.36+455952.8";0.08;7.27
"05193-1831";"S   476";"AB";1824;2014;29;18;19;39.3;39;"6.31";"6.48";"B3V+Ap";"2";"9";"-1";"10";"-18 1055";"NZ";"051917.44-183111.8";6.31;6.48
"05204-0802";"STF 692";"AB,C";1782;2011;29;8;5;29.3;35.1;"7.64";"8.57";"F2";"1";"-68";"4";"-64";"-08 1093";"N";"052024.16-080147.0";7.64;8.57
"05226-1953";"SKF2474";"";1850;2010;13;10;10;87.7;85.7;"7.89";"8.73";"B9V+A0V";"3";"7";"1";"8";"-20 1070";"";"052235.29-195242.3";7.89;8.73
"05228+0333";"STF 696";"";1782;2017;78;31;29;32.8;31.5;"4.95";"6.76";"B1V";"-1";"2";"4";"-1";"+03  871";"NZ";"052250.00+033240.0";4.95;6.76
"05244+4237";"ES  576";"AC";1893;2013;15;236;237;42.6;42.6;"8.10";"8.90";"A2";"-9";"-4";"-10";"-2";"";"";"052422.85+423637.0";8.1;8.9
"05244+1723";"S   478";"AB";1782;2011;40;274;271;46.7;106.7;"5.06";"8.79";"F8V";"251";"-8";"11";"-14";"+17  920";"NL U";"052425.46+172300.7";5.06;8.79
"05244+1723";"WNO  52";"AC";1897;2010;17;252;252;707.5;706.8;"5.06";"7.88";"F8V";"251";"-8";"254";"-5";"";"NV";"052425.46+172300.7";5.06;7.88
"05246+0149";"S   479";"AB";1825;2013;20;220;221;46.4;46.2;"8.30";"8.94";"A";"1";"0";"2";"0";"+01 1004";"N";"052438.61+014838.8";8.3;8.94
"05246+0149";"S   479";"AC";1825;2013;16;35;36;158.4;157.5;"8.30";"4.84";"A";"1";"0";"1";"-1";"";"N";"052438.61+014838.8";8.3;4.84
"05248-5219";"DUN  20";"AB,C";1826;2008;29;284;288;38.5;38.3;"6.24";"6.74";"A0V+A2V";"-5";"-28";"-6";"-28";"-52  717";"NZ";"052446.29-521858.2";6.24;6.74
"05252+3451";"STF 698";"AB";1782;2015;48;346;347;25.5;31.2;"6.65";"8.33";"K2III";"-10";"-49";"-10";"-50";"+34 1031";"NY";"052512.94+345118.6";6.65;8.33
"05255+3411";"ARY  36";"";1895;2015;14;246;246;110.4;110.4;"6.75";"8.48";"F4Ib";"-1";"-2";"0";"-2";"+34 1036";"Y";"052530.00+341110.9";6.75;8.48
"05256+3041";"ARY  37";"";1901;2010;13;149;150;49.3;49.6;"8.35";"8.90";"A0";"-2";"-7";"2";"-7";"+30  885";"";"052536.15+304156.7";8.35;8.9
"05266+0652";"SHY 478";"";1991;2000;4;16;16;999.9;999.9;"6.40";"7.05";"A0Vn+A0";"9";"-33";"8";"-34";"+06  923";"NV";"052638.83+065207.1";6.4;7.05
"05276+3429";"BLL  15";"AD";1879;2013;16;14;15;206.8;210.1;"5.22";"8.07";"K3III";"-2";"-39";"0";"-3";"+34 1049";"NY";"052738.89+342833.6";5.22;8.07
"05287-6527";"SHY  27";"AE";1991;1999;3;4;4;999.9;999.9;"7.03";"8.01";"K0V+K0V";"33";"151";"25";"1";"";"NV";"052844.83-652654.8";7.03;8.01
"05297+3327";"S   484";"";1825;2015;23;170;171;59;58.8;"8.67";"8.74";"G0";"20";"-43";"19";"-46";"+33 1064";"N";"052938.75+332804.6";8.67;8.74
"05298+1825";"HJ 3275";"AC";1875;2015;33;21;21;52.9;56.1;"7.65";"8.22";"A0";"3";"-39";"13";"-15";"";"NZ";"052949.77+182458.3";7.65;8.22
"05302-4705";"DUN  21";"AD";1837;2009;16;264;272;197.2;198.3;"5.52";"6.68";"G3IV";"21";"-133";"28";"-7";"-47 1880";"N";"053009.48-470439.6";5.52;6.68
"05308+3950";"STTA 63";"";1874;2015;27;274;277;75.1;76.1;"6.49";"7.69";"G9III";"22";"-37";"19";"-18";"+39 1322";"NZ";"053045.08+394933.3";6.49;7.69
"05317+0250";"SHJ  61";"";1879;2014;19;352;353;66.9;66.2;"7.53";"8.91";"B5V";"3";"-1";"1";"0";"+02  986";"";"053141.22+024958.2";7.53;8.91
"05320-0018";"STFA 14";"AC";1777;2015;75;0;2;50;53.3;"2.41";"6.83";"B0III";"2";"1";"-1";"-6";"-00  982";"N";"053200.40-001756.7";2.41;6.83
"05350-0600";"STF 747";"AB";1825;2016;50;223;228;35.8;40;"4.70";"5.51";"B0.5V+B1V";"-1";"0";"1";"0";"-06 1234";"NZ";"053502.68-060007.2";4.7;5.51
"05350-0600";"CLL  22";"AC";1893;2000;4;11;12;68.5;68.2;"4.70";"8.95";"B0.5V";"1";"4";"1";"0";"";"NV";"053502.68-060007.2";4.7;8.95
"05354-0525";"STFA 16";"AB";1836;2014;55;92;94;52.8;51.8;"5.03";"6.19";"O9.5Vep";"2";"2";"3";"2";"-05 1319";"N";"053522.88-052457.7";5.03;6.19
"05354-0525";"STFA 16";"AC";1869;2008;20;98;98;128.8;128;"5.03";"8.46";"O9.5Vep";"2";"2";"2";"-3";"-05 1326";"N";"053522.88-052457.7";5.03;8.46
"05354-0525";"STFA 17";"AD";1836;2010;31;314;315;135.1;134.8;"5.03";"5.06";"O9.5Vep";"2";"2";"-1";"0";"-05 1319";"N";"053522.88-052457.7";5.03;5.06
"05354-0525";"STFA 16";"BC";1893;2004;18;101;103;76.6;76;"6.19";"8.46";"B1V";"3";"2";"2";"-3";"";"N";"053526.40-052500.7";6.19;8.46
"05362-2842";"SHY 484";"";1991;1999;5;76;76;999.9;999.9;"6.28";"7.30";"A2III+F3V";"26";"-3";"24";"-4";"-28 2298";"NVW";"053610.29-284228.8";6.28;7.3
"05376+2308";"AHD  10";"";1892;2011;7;36;37;38.3;37.6;"8.79";"8.96";"";"2";"-3";"0";"-5";"+23  973";"";"053736.58+230819.9";8.79;8.96
"05379+0058";"STTA 65";"AB";1875;2014;24;31;32;80.1;78.8;"7.45";"7.99";"B6V";"1";"-4";"-2";"-3";"+00 1138";"NZ";"053753.45+005807.0";7.45;7.99
"05381-0011";"STF 758";"AC";1831;2015;27;87;87;50.9;51.3;"7.96";"8.69";"B6V";"-2";"2";"3";"0";"";"NZ";"053806.52-001103.5";7.96;8.69
"05381-0011";"STF 758";"AD";1842;2015;16;79;79;41.5;41.9;"7.96";"8.52";"B6V";"-2";"2";"-2";"1";"";"N";"053806.52-001103.5";7.96;8.52
"05381-0011";"S   493";"AE";1825;2015;14;262;263;138.4;138.3;"7.96";"8.67";"B6V";"-2";"2";"-1";"0";"-00 1033";"N";"053806.52-001103.5";7.96;8.67
"05386-0233";"STF 761";"AB";1823;2016;36;202;202;68.3;68.1;"7.86";"8.39";"B5V";"-1";"0";"-1";"1";"-02 1324";"N W";"053836.54-023312.7";7.86;8.39
"05386-0233";"STF 761";"AC";1891;2016;21;208;209;73.4;72.1;"7.86";"8.55";"B5V";"-1";"0";"3";"2";"";"N W";"053836.54-023312.7";7.86;8.55
"05387-0236";"STF 762";"AB,E";1777;2016;79;55;62;37;41.5;"3.76";"6.34";"O9V+B2Vp";"5";"0";"-2";"-3";"-02 1327";"N";"053844.77-023600.2";3.76;6.34
"05387-0236";"STF3135";"AB,F";1823;2016;13;323;324;213.8;208;"3.76";"7.86";"O9V+";"5";"-1";"0";"-1";"-02 1326";"N";"053844.77-023600.2";3.76;7.86
"05387-0236";"SHJ  65";"AB,H";1823;2016;7;123;125;310.1;306.9;"3.76";"8.06";"O9V+B5";"5";"0";"-1";"-1";"-02 1328";"N";"053844.77-023600.2";3.76;8.06
"05387-0236";"SHJ  65";"AB,I";1823;2016;6;59;60;525.4;524.7;"3.76";"8.44";"O9V+A0";"5";"0";"1";"0";"-02 1330";"N";"053844.77-023600.2";3.76;8.44
"05387-0236";"STF 762";"EC";1831;2013;23;240;241;52.3;52.8;"6.34";"8.79";"B2Vp+A2V";"-2";"-3";"5";"3";"";"N";"053847.20-023540.5";6.34;8.79
"05392+2317";"STF 755";"AC";1879;2003;15;34;32;146;148.1;"8.88";"7.76";"F8";"43";"-52";"-2";"-6";"";"N";"053909.17+231717.7";8.88;7.76
"05393-1751";"HJ 3780";"AC";1874;2012;22;136;137;90;89.3;"6.69";"8.89";"B7V";"-7";"3";"-4";"-4";"-17 1203";"";"053916.23-175057.9";6.69;8.89
"05393-1751";"HJ 3780";"AE";1874;2012;23;7;9;80;75.6;"6.69";"7.90";"B7V";"-7";"3";"5";"-4";"-17 1200";"";"053916.23-175057.9";6.69;7.9
"05393-1751";"HJ 3780";"AF";1874;2012;21;300;300;125;133.9;"6.69";"8.25";"B7V";"-7";"3";"-61";"30";"-17 1198";"";"053916.23-175057.9";6.69;8.25
"05402+1015";"SHY 487";"";1991;2015;6;311;311;477.7;477.7;"7.95";"8.67";"F0+F5";"-8";"-30";"-8";"-30";"+10  841";"NVW";"054011.72+101509.6";7.95;8.67
"05429+0001";"STF 782";"AB";1831;2013;35;309;305;36.2;47;"8.60";"8.83";"K0";"73";"-35";"13";"-14";"-00 1061";"NL";"054255.94+000128.7";8.6;8.83
"05444-0528";"SHY 489";"";1991;2000;4;252;252;999.9;999.9;"8.02";"8.34";"F2+F5";"17";"-25";"15";"-23";"-05 1379";"NV";"054425.46-052753.1";8.02;8.34
"05445-2227";"H 6  40";"AB";1800;2012;45;348;350;95.8;95;"3.64";"6.28";"F6V+K2V";"-292";"-369";"-304";"-352";"-22 1211";"N";"054427.79-222654.2";3.64;6.28
"05460+2119";"ARY   6";"AD";1883;2009;17;159;160;124.6;124.4;"8.27";"8.11";"F2";"-7";"-44";"-4";"-41";"+21  979";"";"054600.80+211904.5";8.27;8.11
"05479+2441";"STTA 66";"";1874;2015;30;166;166;94.2;93.7;"6.95";"7.71";"K2";"-2";"-6";"3";"-4";"+24  963";"N";"054756.13+244112.6";6.95;7.71
"05484+2052";"STTA 67";"AB,C";1843;2011;32;163;162;80;75.5;"6.01";"8.29";"B9Vn";"8";"-18";"9";"-20";"+20 1106";"N";"054822.36+205210.3";6.01;8.29
"05498+3258";"S   500";"";1825;2010;21;89;90;59.9;60.1;"8.57";"8.85";"K0";"15";"13";"18";"11";"+32 1098";"NU";"054946.20+325823.4";8.57;8.85
"05499+2259";"ARN  91";"AC";1892;2006;12;132;132;111.8;112.1;"8.37";"8.99";"F0+A2";"-1";"-36";"0";"-36";"";"N";"054953.62+225847.6";8.37;8.99
"05529+3427";"SHY 492";"AC";1991;1999;3;46;46;999.9;999.9;"8.01";"8.82";"F8+G0";"-11";"-69";"-8";"-67";"";"NV";"055252.73+342642.5";8.01;8.82
"05530+2047";"ARY  39";"AC";1893;2014;11;299;301;111.8;115.9;"7.70";"8.85";"B9";"8";"-22";"-23";"14";"+20 1148";"";"055258.21+204640.3";7.7;8.85
"05547+1351";"S   502";"";1825;2010;26;129;132;45.5;46;"7.89";"8.29";"O6:pe";"-2";"-4";"0";"-7";"+13 1026";"N";"055444.73+135117.1";7.89;8.29
"05552+7652";"STF 760";"AB";1899;2008;8;47;37;25.8;31.1;"8.13";"8.87";"F5";"11";"-86";"1";"-8";"+76  211";"";"055509.78+765209.7";8.13;8.87
"05556+5328";"STT 120";"";1843;2011;22;133;142;43.7;48.1;"7.63";"8.77";"M0";"12";"6";"0";"-44";"+53  962";"N";"055537.56+532735.5";7.63;8.77
"05557-3806";"SHY 493";"";1991;1999;3;232;232;999.9;999.9;"7.53";"8.20";"F7V+G0V";"21";"10";"27";"12";"-38 2296";"NV";"055543.16-380616.2";7.53;8.2
"05561+1356";"S   503";"AB";1825;2015;73;134;321;39.9;85.6;"6.67";"8.41";"G5IV";"373";"-484";"-54";"11";"+13 1036";"NL U";"055603.43+135529.7";6.67;8.41
