"WDS";"Discov";"Comp";"Firs";"Last";"Obs";"P1";"P2";"Sep.01";"Sep.02";"Mag1";"Mag2";"Spectr";"M1RA";"M1DE";"M2RA";"M2DE";"DurNum";"Not";"Coord2000ArcSec";"Mag1Num";"Mag2Num"
"00405+5632";"H 5  18";"AD";1781;2015;40;275;283;56.2;70.3;"2.35";"8.98";"K0";"51";"-32";"-2";"-3";"+55  138";"NL U";"004030.39+563214.7";2.35;8.98
"00407-0421";"HJ  323";"";1827;2014;27;285;286;60;62.8;"6.01";"8.46";"K0III";"-16";"-14";"-10";"-53";"-05  101";"N";"004042.37-042106.6";6.01;8.46
"00435+3351";"WEI  46";"AC";1991;2001;3;273;273;999.9;999.9;"8.88";"8.75";"K8+K0";"-207";"-358";"10";"2";"+33   96";"NU";"004332.85+335040.4";8.88;8.75
"00464+3057";"STFA  1";"AB";1777;2016;110;62;47;46;47.6;"7.25";"7.43";"K1III";"-20";"-65";"-42";"-29";"+30  113";"NL Y";"004624.34+305633.5";7.25;7.43
"00474+5106";"H 5  82";"AB";1782;2015;37;82;75;43.4;56.4;"7.97";"8.35";"K2";"-26";"-24";"17";"4";"+50  141";"NL";"004724.62+510545.9";7.97;8.35
"00491+5749";"STF  60";"AH";1991;2000;3;355;355;689;694.7;"3.52";"8.41";"G0V";"114";"-57";"-1";"0";"";"NU P";"004906.29+574854.7";3.52;8.41
"00491+5749";"STF  60";"BH";1928;2000;4;2;355;651;684.7;"7.36";"8.41";"K7";"111";"-49";"-1";"0";"+57  151";"NU P";"004905.16+574903.9";7.36;8.41
"00499+3027";"STTA  9";"AB";1875;2013;38;235;244;91.8;117.1;"7.75";"8.81";"G8IV";"239";"-30";"23";"-20";"+29  141";"NL";"004952.79+302701.0";7.75;8.81
"00567+6043";"MAM  20";"AD";1991;2010;4;179;179;999.9;999.9;"2.15";"5.56";"B0IV+B9IV";"26";"-5";"23";"-5";"+59  146";"NV";"005642.50+604300.3";2.15;5.56
"01005-1923";"SHY 392";"";1918;2015;6;126;126;999.9;999.9;"8.06";"8.33";"G3V+G3V";"127";"-55";"129";"-54";"-20  179";"NVW";"010028.01-192321.8";8.06;8.33
"01058+0455";"STF  90";"AB";1782;2016;110;85;84;29.6;32.9;"6.39";"7.26";"F3V+F5V";"14";"-121";"32";"-123";"+04  175";"NV";"010549.22+045431.2";6.39;7.26
"01066+1353";"SHY 396";"";1991;1999;3;305;305;999.9;999.9;"7.27";"8.72";"F6V+G5";"52";"-40";"48";"-36";"+13  165";"NV";"010636.52+135304.5";7.27;8.72
"01072+3839";"STTA 11";"AB,C";1875;2014;30;158;164;63;59.3;"7.62";"8.77";"F8";"33";"-13";"-20";"-5";"+37  211";"N";"010709.16+383901.7";7.62;8.77
"01137-5040";"HJ 3421";"";1834;2010;24;55;81;30;62.3;"8.49";"8.51";"F5V";"11";"6";"165";"-80";"-51  311";"NL U";"011342.49-503931.1";8.49;8.51
"01144-0755";"STFA  3";"AB";1800;2016;59;332;331;48;49.2;"5.19";"7.85";"F6V+G9V";"125";"278";"122";"274";"-08  216";"NV";"011424.04-075522.2";5.19;7.85
"01158-6853";"HJ 3423";"A,CD";1874;2010;10;310;310;319.7;319.2;"5.00";"7.85";"F6IV";"411";"127";"362";"146";"";"NV";"011546.16-685233.3";5;7.85
"01166+7402";"HJ 2028";"AB";1831;2010;24;206;204;40;61.4;"7.06";"7.88";"B9";"-1";"-3";"5";"-13";"+73   61";"N";"011636.23+740136.5";7.06;7.88
"01191+8052";"STTA 14";"AB,C";1875;2003;23;26;24;130.9;127.6;"7.56";"6.69";"F3V";"46";"2";"-22";"6";"+80   36";"";"011907.19+805142.6";7.56;6.69
"01201+5814";"H 3  23";"AC";1903;2014;26;231;235;133.8;132.8;"5.07";"7.04";"B5";"-1";"-2";"-1";"-1";"+57  257";"N";"012004.91+581353.8";5.07;7.04
"01211+6439";"S   397";"";1782;2016;48;355;342;42.6;57.4;"6.34";"8.63";"A2Vnn";"60";"-23";"-4";"-5";"+63  176";"NLWU";"012105.27+643929.3";6.34;8.63
"01234+5809";"TOK 455";"AG";1980;2003;4;154;154;999.9;999.9;"6.40";"8.65";"F5V";"133";"-91";"112";"-99";"";"NU";"012321.27+580835.6";6.4;8.65
"01245+3902";"STTA 17";"AC";1875;2014;27;336;347;147.4;134.9;"7.96";"8.47";"G5";"5";"-14";"209";"-28";"";"NY";"012430.85+390130.3";7.96;8.47
"01256+3133";"STT  30";"AC";1843;2015;41;105;106;54;56.7;"8.09";"8.06";"F8";"159";"-47";"157";"-49";"+30  219";"NZ V";"012534.17+313301.9";8.09;8.06
"01284+0758";"S   398";"AB";1825;2010;38;98;100;69.8;68.7;"6.34";"8.02";"K1III";"111";"-9";"109";"-10";"+07  213";"NV";"012822.92+075740.9";6.34;8.02
"01291+3756";"AHD   8";"";1929;2010;9;333;333;83.1;82.7;"8.66";"8.74";"M0V+K5";"-2";"-1";"4";"-6";"+37  293";"";"012904.10+375550.2";8.66;8.74
"01316-1901";"HJ 2052";"";1830;2012;22;121;114;80;80.5;"6.86";"7.47";"A7III+K0";"-14";"-38";"20";"-8";"-19  262";"NY";"013133.96-190122.8";6.86;7.47
"01326-4944";"SHY 405";"AC";1904;2015;6;231;231;999.9;999.9;"6.31";"7.40";"F4V+F2V";"-29";"-74";"-33";"-75";"-50  411";"NV";"013236.36-494339.7";6.31;7.4
"01335+6039";"BUP  22";"AC";1878;2003;12;126;125;144.1;146.6;"8.72";"8.21";"M2";"0";"-1";"29";"2";"+59  276";"N";"013329.21+603847.7";8.72;8.21
"01350-2955";"BU 1000";"AB,D";1850;2015;16;19;19;146.5;130.8;"7.26";"8.80";"F8V";"107";"100";"71";"35";"-30  530";"NU";"013500.96-295438.0";7.26;8.8
"01376+2233";"STTA 20";"AB";1875;2014;31;314;315;95.9;87.1;"7.83";"8.83";"F6V:";"67";"8";"125";"-13";"+21  220";"N";"013738.72+223325.7";7.83;8.83
"01433+6033";"ARN  32";"AE";1901;2011;20;267;268;314.8;317;"5.78";"7.12";"B8IIIn";"14";"-15";"8";"-11";"";"N";"014319.75+603304.8";5.78;7.12
"01434-0705";"STF 150";"";1827;2015;35;200;196;30;35.7;"7.73";"8.19";"A";"0";"-8";"0";"-8";"-07  284";"N";"014322.43-070437.3";7.73;8.19
"01443+0929";"KPR   1";"AC";1895;2012;12;284;285;172.7;189.8;"7.87";"8.39";"F2";"143";"-68";"-19";"-24";"+08  267";"N W";"014415.19+092902.7";7.87;8.39
"01486+1618";"BU  510";"AC";1782;2015;26;323;327;51.3;53.1;"8.69";"8.55";"A5";"-21";"-11";"-29";"-13";"+15  266";"NT";"014833.31+161821.9";8.69;8.55
"01496-1041";"ENG   8";"";1888;2012;23;250;250;183.9;192.9;"4.69";"6.81";"F3III";"-148";"-93";"-125";"-106";"-11  352";"NZ V";"014935.10-104111.1";4.69;6.81
